name,category,address,open_website,phone_number,open_hours,open_hours_updated,reviews_count,rating,main_image,url,country
Upper Freehold Municipal Building,City government office,"314 County Rd 539, Cream Ridge, NJ 08514",http://uftnj.com/,(609) 758-7738,"{""Friday"":""Closed"",""Monday"":""8:30 AM–4:15 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""8:30 AM–4:15 PM"",""Tuesday"":""8:30 AM–4:15 PM"",""Wednesday"":""8:30 AM–4:15 PM""}",Closed ⋅ Opens 8:30 AM,1.0,4.0,,https://www.google.com/maps/place/Upper%20Freehold%20Municipal%20Building/data=!4m7!3m6!1s0x89c1669286b412a1:0xc83789d9f87a67b9!8m2!3d40.1232681!4d-74.5213394!16s/g/11ggt0_pc6!19sChIJoRK0hpJmwYkRuWd6-NmJN8g?authuser=0&hl=en&rclk=1,US
Sexy Nails Salon,Nail salon,"74 Common St, Lawrence, MA 01840",,(978) 683-4685,"{""Friday"":""10 AM–7 PM"",""Monday"":""10 AM–7 PM"",""Saturday"":""10 AM–7 PM"",""Sunday"":""Closed"",""Thursday"":""10 AM–7 PM"",""Tuesday"":""10 AM–7 PM"",""Wednesday"":""10 AM–7 PM""}",Closed ⋅ Opens 10 AM Mon,70.0,4.0,https://lh5.googleusercontent.com/p/AF1QipM5ST4gghTy1PvUbZxQLRFobOw7AIyx2cEBYV3C=w80-h142-k-no,https://www.google.com/maps/place/Sexy%20Nails%20Salon/data=!4m7!3m6!1s0x89e307a86bf92d0f:0x1de872fe063b5cfd!8m2!3d42.7083862!4d-71.15552579999999!16s/g/113df_frp!19sChIJDy35a6gH44kR_Vw7Bv5y6B0?authuser=0&hl=en&rclk=1,US
Broadway Motors,Auto repair shop,"1030 W Broadway Ave, Forrest City, AR 72335",,+18706333391,"""{\""Friday\"":\""8AM to 5PM\"",\""Monday (Memorial Day)\"":\""8AM to 5PM\"",\""Saturday\"":\""Closed\"",\""Sunday\"":\""Closed\"",\""Thursday\"":\""8AM to 5PM\"",\""Tuesday\"":\""8AM to 5PM\"",\""Wednesday\"":\""8AM to 5PM\""}""",,41.0,4.6,https://lh5.googleusercontent.com/p/AF1QipO5kNggk28dG_EkJauq-EiV5TdTMJdN8zTXA1oa=w408-h306-k-no,https://www.google.com/maps/place/Broadway+Motors/data=!4m6!3m5!1s0x87d4ee4f0669c4c5:0x8743dcd6d2f2c056!8m2!3d35.0069885!4d-90.7998733!16s%2Fg%2F1tf60tzf,US
904 Luxury Esthetic,Beauty salon,"4465 Hwy 17 Suite #128, Fleming Island, FL 32003",,(904) 788-3189,"{""Friday"":""9 AM–3 PM"",""Monday"":""9 AM–5 PM"",""Saturday"":""9 AM–3 PM"",""Sunday"":""Closed"",""Thursday"":""9 AM–5 PM"",""Tuesday"":""9 AM–5 PM"",""Wednesday"":""9 AM–5 PM""}",Open ⋅ Closes 5 PM,1.0,5.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wc1y6EZJa9z94pR4LVwIIw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=91.54162&pitch=0&thumbfov=100,https://www.google.com/maps/place/904%20Luxury%20Esthetic/data=!4m7!3m6!1s0x88e5c51d76524237:0x1189c1a3649d1e9e!8m2!3d30.116005299999998!4d-81.7040293!16s/g/11t0711s6q!19sChIJN0JSdh3F5YgRnh6dZKPBiRE?authuser=0&hl=en&rclk=1,US
Sally Beauty,Barber supply store,"301 30th Ave W, Pampa, TX 79065",https://stores.sallybeauty.com/tx/pampa/beauty-supply-pampa-tx-1780.html?showMap=true&horizontalView=true&lat=35.571147&long=-100.968082_utm_source=GMBlisting&utm_medium=organic,(806) 669-5976,"{""Friday"":""10 AM–7 PM"",""Monday"":""10 AM–7 PM"",""Saturday"":""10 AM–7 PM"",""Sunday"":""11 AM–6 PM"",""Thursday"":""10 AM–7 PM"",""Tuesday"":""10 AM–6 PM"",""Wednesday"":""10 AM–7 PM""}",Closed ⋅ Opens 10 AM,16.0,4.3,https://lh5.googleusercontent.com/p/AF1QipMWxXgvVaGfTBceMSWgOkDMORq9tpz8pHrWBJSP=w80-h106-k-no,https://www.google.com/maps/place/Sally%20Beauty/data=!4m7!3m6!1s0x87074817341c8113:0x4c967c88b51d23af!8m2!3d35.5712432!4d-100.9681243!16s/g/1tgfqkzj!19sChIJE4EcNBdIB4cRryMdtYh8lkw?authuser=0&hl=en&rclk=1,US
"Wheeler, Inc.",Electrician,"3868 Dickerson Pike Suite 200, Nashville, TN 37207",http://www.wheelerincorporated.com/,(615) 860-5411,"{""Friday"":""8 AM–4:30 PM"",""Monday"":""8 AM–4:30 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""8 AM–4:30 PM"",""Tuesday"":""Closed"",""Wednesday"":""8 AM–4:30 PM""}",Open ⋅ Closes 4:30 PM,49.0,4.9,https://lh5.googleusercontent.com/p/AF1QipPcHT8nLF-fTt3FMBK2kziONqA0XKCmg77d6wgP=w122-h92-k-no,"https://www.google.com/maps/place/Wheeler,%20Inc./data=!4m7!3m6!1s0x88645cdeaaf34ccb:0x4d467f552d50a453!8m2!3d36.267962!4d-86.7568593!16s/g/1v5_b4xm!19sChIJy0zzqt5cZIgRU6RQLVV_Rk0?authuser=0&hl=en&rclk=1",US
Westerville Close To Home Center at 275 W. Schrock Rd.,Medical clinic,"275 W Schrock Rd, Westerville, OH 43081",https://www.nationwidechildrens.org/locations/close-to-home-locations/westerville-all-locations/westerville-at-275-w-schrock-rd,(614) 355-8080,"{""Friday"":""8 AM–5 PM"",""Monday"":""8 AM–4 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""8 AM–4 PM"",""Tuesday"":""8 AM–4 PM"",""Wednesday"":""8 AM–4 PM""}",Closed ⋅ Opens 8 AM Mon,2.0,5.0,https://lh5.googleusercontent.com/p/AF1QipNt8p6ZpDGxa2suPC5y10yx8xpDZ98V75RJXKBm=w137-h92-k-no,https://www.google.com/maps/place/Westerville%20Close%20To%20Home%20Center%20at%20275%20W.%20Schrock%20Rd./data=!4m7!3m6!1s0x8838f53c3e05b87b:0x69b0aae1be950ca6!8m2!3d40.109512099999996!4d-82.9350809!16s/g/1hhk5dfq4!19sChIJe7gFPjz1OIgRpgyVvuGqsGk?authuser=0&hl=en&rclk=1,US
Farmers Insurance - John Paris,Auto insurance agency,"7105 W 3500 S, West Valley City, UT 84128",https://agents.farmers.com/ut/west-valley/john-paris?SourceID=AMPALFGMAG&utm_source=GMB&utm_medium=Local&y_source=1_MTU1MjIzNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(801) 250-6743,"{""Friday"":""9 AM–6 PM"",""Monday"":""9 AM–6 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""9 AM–6 PM"",""Tuesday"":""9 AM–6 PM"",""Wednesday"":""9 AM–6 PM""}",Closed ⋅ Opens 9 AM Mon,13.0,4.4,https://lh5.googleusercontent.com/p/AF1QipObkWO_QQHtrk7UZhSv-qSRnnZEA_iHkIuQ5uO-=w122-h92-k-no,https://www.google.com/maps/place/Farmers%20Insurance%20-%20John%20Paris/data=!4m7!3m6!1s0x875292b215170d3b:0xf3f3c7f9c9b98107!8m2!3d40.6961856!4d-112.0609358!16s/g/1w15zy27!19sChIJOw0XFbKSUocRB4G5yfnH8_M?authuser=0&hl=en&rclk=1,US
Kroger Bakery,Bakery,"26233 Hoover Rd, Warren, MI 48089",https://www.kroger.com/,(586) 754-5562,"{""Friday"":""6 AM–12 AM"",""Monday"":""6 AM–12 AM"",""Saturday"":""6 AM–12 AM"",""Sunday"":""6 AM–12 AM"",""Thursday"":""6 AM–12 AM"",""Tuesday"":""6 AM–12 AM"",""Wednesday"":""6 AM–12 AM""}",Closed ⋅ Opens 6 AM,16.0,3.8,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MBaShvgX6_yodNTptnfoMA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=251.76024&pitch=0&thumbfov=100,https://www.google.com/maps/place/Kroger%20Bakery/data=!4m7!3m6!1s0x8824d0a4f2411dd7:0x8f5726c314626b83!8m2!3d42.4868218!4d-83.0077894!16s/g/11b6g875zb!19sChIJ1x1B8qTQJIgRg2tiFMMmV48?authuser=0&hl=en&rclk=1,US
"David N. Sloan, Esq.",Law firm,"600 Old Country Rd Suite 450, Garden City, NY 11530",nyfirm.net,+15163332300,"""{\""Friday\"":\""9AM to 5PM\"",\""Monday\"":\""9AM to 5PM\"",\""Saturday\"":\""Closed\"",\""Sunday\"":\""Closed\"",\""Thursday\"":\""9AM to 5PM\"",\""Tuesday\"":\""9AM to 5PM\"",\""Wednesday\"":\""9AM to 5PM\""}""",,1.0,5.0,https://lh5.googleusercontent.com/p/AF1QipO4pPN8uCBsevMXrREj6jOkfxZwmUUNTs6lfURV=w408-h306-k-no,"https://www.google.com/maps/place/David+N.+Sloan,+Esq./@40.7424922,-73.6155827,17z/data=!3m1!4b1!4m6!3m5!1s0x89c287879cdcd229:0x415f1990d8d78662!8m2!3d40.7424922!4d-73.6155827!16s%2Fg%2F11gbk1v00h?hl=en",US
